イベント名,イベント名(英語),カテゴリ,開始日,終了日,イベント説明,イベント説明(英語),開催場所について,イベントスケジュールについて,イベント開始時刻,イベント終了時刻,利用料金,問合先,問合先電話番号,主催者,開催場所施設名,駐車場有無,緯度,経度,対象地区,画像URL,ホームページアドレス,情報変更日時,情報作成日時
神明鳥羽地区　〜神明地区ハーフバースデイ事業〜,"",子育て,2019/10/05,2019/10/05,神明・鳥羽地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市神明公民館,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
子育て支援センタ−　歯っぴー教室,"",子育て,2019/10/10,2019/10/10,講師：子育てマイスター　歯科衛生士　佐々木雅代氏　　歯のこと・歯磨きのことなどを教えてもらいましょう。,"",鯖江市子育て支援センタ−,14:30〜15:30,14:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
新横江地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2019/10/10,2019/10/10,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・新横江公民館（℡51-2969）,"",鯖江市新横江保育園,9:20〜10：30,09:20,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江保育園,"",35.941833,136.195819,新横江地区,"",http://www.shinyokoehoikuen.jp/outline,"",""
北中山地区　〜ぴよぴよ運動会〜,"",子育て,2019/10/11,2019/10/11,赤ちゃんもお家の人と一緒に参加できます。＊申込制　　北中山公民館（℡65-1001）へ,"",鯖江市北中山公民館,10:00〜,10:00,"","",鯖江市北中山公民館,0778-65-1001,"",鯖江市北中山公民館,"",35.95175,136.237798,"","",https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kitanakayama/kitanakayamakominkan.html,"",""
新横江地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2019/10/11,2019/10/11,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・新横江公民館（℡51-2969）,"",鯖江市新横江保育園,9:20〜10：30,09:20,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江保育園,"",35.941833,136.195819,新横江地区,"",http://www.shinyokoehoikuen.jp/outline,"",""
吉川地区　〜親子で遊ぼう〜,"",子育て,2019/10/11,2019/10/11,講師：酒井 勇美子氏　定員：20名　リズムに合わせて親子で楽しく遊びましょう！,"",鯖江市吉川公民館,10:30〜,10:30,"","",鯖江市吉川公民館,0778-62-1020,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
子育て支援センタ−　幼稚園・保育園・こども園って,"",子育て,2019/10/15,2019/10/15,講師：こども園副園長・保育・幼児教育室課長補佐　,"",鯖江市子育て支援センタ−,10:30〜11:30,10:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
鯖江地区　〜地区ですくすく育児相談〜,"",子育て,2019/10/16,2019/10/16,骨盤体操や助産師・保健師・栄養士に個別相談ができます。　＊申込・・・鯖江公民館（℡51‐3010）,"",ふれあいみんなの館・さばえ,10:00〜,10:00,"","",鯖江市鯖江公民館,0778-51-3010,"",ふれあいみんなの館・さばえ,"",35.93766,136.179764,"","",https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/fureaiminnanoyakata.html,"",""
立待地区　〜ハーフバースデイ事業〜,"",子育て,2019/10/16,2019/10/16,立待地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市立待公民館,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
河和田地区　〜ハーフバースデイ事業〜,"",子育て,2019/10/17,2019/10/17,河和田地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市河和田コミュニティセンター,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
中河地区　〜ミニミニ運動会〜,"",子育て,2019/10/17,2019/10/17,参加費100円　みんなで楽しく　よーいどん！＊申込・・・中河公民館（℡51-3102）,"",鯖江市中河公民館,10:00〜,10:00,"","",鯖江市中河公民館,0778-51-3102,"",鯖江市中河公民館,"",35.956213,136.208984,中河地区,http://www.city.sabae.fukui.jp/bin/000699-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/nakagawakominkan/nakagawakominkan.html,"",""
神明鳥羽地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2019/10/18,2019/10/18,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・神明公民館（℡51-5065）,"",鯖江市神明小学校,9:20〜,09:20,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明小学校,"",35.970319,136.184323,神明鳥羽地区,"",http://www.sabae.ed.jp/~el-sinmei/,"",""
北中山地区　〜ハーフバースデイ事業〜,"",子育て,2019/10/18,2019/10/18,北中山地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市北中山公民館,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",鯖江市北中山公民館,"",35.95175,136.237798,"","",https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kitanakayama/kitanakayamakominkan.html,"",""
河和田地区　〜手型足型とりと地区ですくすく育児相談〜,"",子育て,2019/10/18,2019/10/18,保健師さんに個人相談ができます。　　＊申込・・・河和田コミュニティセンター（℡65‐0001）　,"",鯖江市河和田コミュニティセンター,10:00〜,10:00,"","",鯖江市河和田コミュニティセンター,0778-51-0001,"","","","","","","","","",""
子育て支援センタ−　ファミリーデー（小児科医講座）,"",子育て,2019/10/19,2019/10/19,〜子どもの急病時の対応について〜　講師　県立病院小児科主任医長　畑　郁恵氏,"",鯖江市子育て支援センタ−,10:30〜11：30,10:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
神明鳥羽地区　〜手型足型ぺったんこ〜,"",子育て,2019/10/21,2019/10/21,お子さんの成長の！親子のこの日の！記念にどうぞ！　＊申込・問合せ・・・神明公民館（℡51-5065）,"",鯖江市神明公民館,10:00〜,10:00,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
立待地区　〜地区ですくすく育児相談〜,"",子育て,2019/10/21,2019/10/21,骨盤体操や助産師・保健師・栄養士に個別相談ができます。　＊申込・・・立待公民館（℡51‐3376）,"",鯖江市立待公民館,10:00〜,10:00,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
片上地区　〜手型足型をとろう！〜,"",子育て,2019/10/23,2019/10/23,お子さんの大切な成長の記録ですね。＊地区文化祭に展示します。,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
新横江地区　〜ハーフバースデイ事業〜,"",子育て,2019/10/25,2019/10/25,新横江地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市新横江公民館,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
神明鳥羽地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2019/10/25,2019/10/25,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・神明公民館（℡51-5065）,"",鯖江市神明小学校,9:20〜,09:20,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明小学校,"",35.970319,136.184323,神明鳥羽地区,"",http://www.sabae.ed.jp/~el-sinmei/,"",""
鯖江地区　〜みんなで運動会〜,"",子育て,2019/10/30,2019/10/30,参加費100円　みんなで楽しく　よーいどん！＊申込は鯖江公民館へ,"",ふれあいみんなの館・さばえ,10:00〜,10:00,"","",鯖江市鯖江公民館,0778-51-3010,"",ふれあいみんなの館・さばえ,"",35.93766,136.179764,"","",https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/fureaiminnanoyakata.html,"",""
河和田地区　〜保育園で遊びましょう（人形劇）〜,"",子育て,2019/10/31,2019/10/31,公演：劇団とんと　「どろぼうがっこう」　＊申込・詳細・・・河和田コミュニティセンター（℡65‐0001）へ,"",鯖江市慈光保育園,15:00〜,15:00,"","",鯖江市河和田コミュニティセンター,0778-51-0001,"",鯖江市慈光保育園,"",35.954948,136.276596,河和田地区,"",http://www.mitene.or.jp/~tamasaki/,"",""
子育て支援センタ−　11月生まれの誕生会,"",子育て,2019/11/01,2019/11/01,11月生まれのお友達をみんなでお祝いしましょう !,"",鯖江市子育て支援センタ−,11:00〜11：30,11:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
神明鳥羽地区　〜赤ちゃんと小学生とのふれあい教室〜,"",子育て,2019/11/01,2019/11/01,小学6年生と、乳幼児とのふれあい体験です。＊問合せ先・・・神明公民館（℡51-5065）,"",鯖江市神明小学校,9:20〜,09:20,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明小学校,"",35.970319,136.184323,神明鳥羽地区,"",http://www.sabae.ed.jp/~el-sinmei/,"",""
神明鳥羽地区　〜神明地区ハーフバースデイ事業〜,"",子育て,2019/11/05,2019/11/05,神明地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市神明公民館,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
鯖江地区　〜ハーフバースデイ事業〜,"",子育て,2019/11/06,2019/11/06,鯖江地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",ふれあいみんなの館・さばえ,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",ふれあいみんなの館・さばえ,"",35.93766,136.179764,"","",https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/fureaiminnanoyakata.html,"",""
吉川地区　〜ハーフバースデイ事業〜,"",子育て,2019/11/08,2019/11/08,吉川地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市吉川公民館,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",鯖江市北中山公民館,"",35.95175,136.237798,"","",https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kitanakayama/kitanakayamakominkan.html,"",""
とっておきのわたしの日,"",子育て,2019/11/09,2019/11/09,遊びのコーナー・輝け！わたしのコーナー・未来へのお手紙コーナーなどあります。参加してリフレッシュしてください。,"",鯖江市子育て支援センター,9:30〜12:00,09:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"",嚮陽会館,"",35.947978,136.179297,鯖江地区,"",http://www1.ttn.ne.jp/~s-kyoyo/,"",""
子育て支援センタ−　「子育て講座」　積み重なって育つもの　〜ことばの育つステップ〜,"",子育て,2019/11/11,2019/11/11,講師：臨床発達心理士　富田純子氏　＊全体へのお話後、お子さんの遊んでいる様子を見ながら個別相談ができます。,"",鯖江市子育て支援センタ−,10:00〜11：30,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
神明鳥羽地区　〜鳥羽地区ハーフバースデイ事業〜,"",子育て,2019/11/11,2019/11/11,鳥羽地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市神明公民館,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
片上地区　〜骨盤体操〜,"",子育て,2019/11/11,2019/11/11,講師：宮本 真由美氏　　みんなで楽しく骨盤体操をしましょう！,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
中河地区　〜地区ですくすく育児相談〜,"",子育て,2019/11/14,2019/11/14,骨盤体操や助産師・保健師・栄養士に個別相談ができます。　＊申込・・・中河公民館（℡51‐3102）,"",鯖江市中河公民館,10:00〜,10:00,"","",鯖江市中河公民館,0778-51-3102,"",鯖江市中河公民館,"",35.956213,136.208984,中河地区,http://www.city.sabae.fukui.jp/bin/000699-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/nakagawakominkan/nakagawakominkan.html,"",""
豊地区　〜ハーフバースデイ事業〜,"",子育て,2019/11/14,2019/11/14,豊地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市豊公民館,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",鯖江市豊公民館,"",35.945984,136.152168,豊地区,http://www.city.sabae.fukui.jp/bin/000722-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yutakakominkan/yutakakominkan.html,"",""
立待地区　〜ベビータッチング〜,"",子育て,2019/11/18,2019/11/18,講師：漆崎由美氏　　＊申込・・・立待公民館（℡51‐3376）,"",鯖江市立待公民館,10:00〜,10:00,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
神明鳥羽地区　〜わんぱく運動会〜,"",子育て,2019/11/19,2019/11/19,会場：神明公民館　　参加費：子ども1人　100円　＊申込・・・神明公民館（℡51‐5065）,"",鯖江市神明公民館,10:00〜,10:00,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
立待地区　〜ハーフバースデイ事業〜,"",子育て,2019/11/20,2019/11/20,立待地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市立待公民館,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
子育て支援センタ−　栄養士相談会,"",子育て,2019/11/21,2019/11/21,講師：保育・幼児教育室 管理栄養士　,"",鯖江市子育て支援センタ−,14:30〜15:30,14:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
新横江地区　〜手型足型アート＆育児相談会〜,"",子育て,2019/11/21,2019/11/21,保健師・栄養士による個別相談もできます。　＊申込・・・新横江公民館（℡51‐2969）,"",鯖江市新横江公民館,10:00〜,10:00,"","",鯖江市新横江公民館,0778-51-2969,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
新横江地区　〜ハーフバースデイ事業〜,"",子育て,2019/11/22,2019/11/22,新横江地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市新横江公民館,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
河和田地区　〜お散歩で秋を見つけよう＆パン作り〜,"",子育て,2019/11/22,2019/11/22,会場：ラポーゼかわだ　参加費：一家族600円　＊申込・・・河和田コミュニティセンター（℡65-0001）,"",鯖江市東部児童センター,10:00〜,10:00,"","",鯖江市河和田公民館,0778-65-0403,"",ラポーゼかわだ,"",35.947945,136.300511,河和田地区,"",https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/lapausekawada.html,"",""
吉川地区　〜よちよち運動会〜,"",子育て,2019/11/23,2019/11/23,参加費100円　申込制です。申込・詳細は吉川公民館へ,"",鯖江市吉川公民館,10:00〜,10:00,"","",鯖江市吉川公民館,0778-62-1020,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
子育て支援センター　フリーマーケット第2弾,"",子育て,2019/11/25,2019/11/25,会場：らんちるーむ　　お気軽にお立ち寄りください。,"",鯖江市子育て支援センタ−,9:00〜16:00,09:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センター　フリーマーケット第2弾,"",子育て,2019/11/26,2019/11/26,会場：らんちるーむ　　＊午前中のみ開催！　お気軽にお立ち寄りください。,"",鯖江市子育て支援センタ−,9:00〜12:00,09:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センタ−　保健師相談会,"",子育て,2019/11/27,2019/11/27,講師：子育てマイスター　保健師　内山絵理氏　　お子さんの健康・発達についてお話しましょう。,"",鯖江市子育て支援センタ−,10:30〜11:30,10:30,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
鯖江地区　〜人形劇を楽しもう〜,"",子育て,2019/11/27,2019/11/27,公演：COSAPO人形劇団,"",ふれあいみんなの館・さばえ,10:00〜,10:00,"","",鯖江市鯖江公民館,0778-51-3010,"",アイアイさばえ,"",35.961634,136.187786,鯖江地区,http://www.city.sabae.fukui.jp/bin/000874-02-1.jpg,https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/aiai_kenkofukushi.html,"",""
中河地区　〜ハーフバースデイ事業〜,"",子育て,2019/11/28,2019/11/28,中河地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市中河公民館,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",鯖江市中河公民館,"",35.956213,136.208984,中河地区,http://www.city.sabae.fukui.jp/bin/000699-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/nakagawakominkan/nakagawakominkan.html,"",""
神明鳥羽地区　〜鳥羽地区ハーフバースデイ事業〜,"",子育て,2019/12/02,2019/12/02,鳥羽地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市神明公民館,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
神明鳥羽地区　〜神明地区ハーフバースデイ事業〜,"",子育て,2019/12/03,2019/12/03,神明地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市神明公民館,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
子育て支援センタ−　赤ちゃんとママのヨガ,"",子育て,2019/12/04,2019/12/04,講師：子育てマイスター　内山絵理氏　＊定員15組（申込制）,"",鯖江市子育て支援センタ−,14:00〜15:00,14:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
鯖江地区　〜ハーフバースデイ事業〜,"",子育て,2019/12/04,2019/12/04,鯖江地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",ふれあいみんなの館・さばえ,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",ふれあいみんなの館・さばえ,"",35.93766,136.179764,"","",https://www.city.sabae.fukui.jp/about_city/shinoshokai/kokyoshisetsu/fureaiminnanoyakata.html,"",""
北中山地区　〜地区ですくすく育児相談〜,"",子育て,2019/12/05,2019/12/05,骨盤体操や助産師・保健師・栄養士に個別相談ができます。　＊申込・・・北中山公民館（℡65‐1001）,"",鯖江市戸口児童センター,10:00〜,10:00,"","",鯖江市北中山公民館,0778-65-1001,"",鯖江市戸口児童センター,"",35.951771,136.246277,北中山地区,"","","",""
子育て支援センタ−　12月生まれの誕生会,"",子育て,2019/12/06,2019/12/06,12月生まれのお友達をみんなでお祝いしましょう !,"",鯖江市子育て支援センタ−,11:00〜11：30,11:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
河和田地区　〜ハーフバースデイ事業〜,"",子育て,2019/12/06,2019/12/06,河和田地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市河和田コミュニティセンター,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
子育て支援センタ−　ことばの相談会,"",子育て,2019/12/11,2019/12/11,講師：言語聴覚士 梅澤邦江氏　＊お子さんの言葉の発達についての相談会です。,"",鯖江市子育て支援センタ−,10:00〜11:00,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
片上地区　〜クリスマス会〜,"",子育て,2019/12/11,2019/12/11,参加費100円　＊対象：片上地区の方　＊申込・詳細・・・片上公民館（℡51−4801）へ,"",鯖江市片上公民館,10:00〜,10:00,"","",鯖江市片上公民館,0778-51-4801,"",鯖江市片上公民館,"",35.973656,136.230857,片上地区,http://www.city.sabae.fukui.jp/bin/000093-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/katagamikominkan/katakamikominkan.html,"",""
子育て支援センタ−　助産師育児相談会,"",子育て,2019/12/12,2019/12/12,講師：助産師 吉田美里氏　,"",鯖江市子育て支援センタ−,14:30〜15:30,10:00,"","",鯖江市子育て支援センタ−,0778-51-3527,"","","","","","","","","",""
豊地区　〜クリスマス会〜,"",子育て,2019/12/12,2019/12/12,参加費：こどもひとり 100円　申込・詳細・・・豊公民館（℡62−1011）,"",鯖江市豊公民館,10:00〜,10:00,"","",鯖江市豊公民館,0778-62-1011,"",鯖江市豊公民館,"",35.945984,136.152168,豊地区,http://www.city.sabae.fukui.jp/bin/000722-02-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yutakakominkan/yutakakominkan.html,"",""
新横江地区　〜ハーフバースデイ事業〜,"",子育て,2019/12/13,2019/12/13,新横江地区に住む、6か月の赤ちゃんとママさん集まれ〜！＊対象となる方には、詳細をはがきでお知らせしています。,"",鯖江市新横江公民館,"","","","",鯖江市子育て支援センタ−,0778-51-3527,"",鯖江市新横江公民館,"",35.942024,136.200731,新横江地区,http://www.city.sabae.fukui.jp/bin/000090-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinyokoekominkan/shinyokoekominkan.html,"",""
吉川地区　〜クリスマス会〜,"",子育て,2019/12/13,2019/12/13,参加費：こどもひとり 100円　＊申込制（先着30名）　申込・詳細・・・ 吉川公民館（℡62‐1020）へ,"",鯖江市吉川公民館,10:00〜,10:00,"","",鯖江市吉川公民館,0778-62-1020,"",鯖江市吉川公民館,"",35.96307,136.157338,吉川地区,http://www.city.sabae.fukui.jp/bin/000095-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/yoshikawakominkan/yoshikawakominkan.html,"",""
河和田地区　〜クリスマス会〜,"",子育て,2019/12/13,2019/12/13,参加費：こどもひとり 100円　＊申込・詳細・・・河和田コミュニティセンター（℡65‐0001）へ　,"",鯖江市東部児童センター,10:00〜,10:00,"","",鯖江市河和田コミュニティセンター,0778-65-0001,"",鯖江市東部児童センター,"",35.94828,136.258072,河和田地区,"","","",""
立待地区　〜クリスマス会〜,"",子育て,2019/12/16,2019/12/16,参加費：こどもひとり 100円　＊申込制（立待地区親子優先）　＊申込・詳細・・・立待公民館（℡51‐3376）,"",鯖江市立待公民館,10:00〜,10:00,"","",鯖江市立待公民館,0778-51-3376,"",鯖江市立待公民館,"",35.983106,136.174076,立待地区,http://www.city.sabae.fukui.jp/bin/001527-10-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/tachimachikominkan/tachimachikominkan.html,"",""
神明鳥羽地区　〜クリスマス会〜,"",子育て,2019/12/17,2019/12/17,参加費：こどもひとり 100円　＊申込・詳細・・・神明公民館（℡51‐5065）へ,"",鯖江市神明公民館,10:00〜,10:00,"","",鯖江市神明公民館,0778-51-5065,"",鯖江市神明公民館,"",35.970727,136.178959,神明鳥羽地区,http://www.city.sabae.fukui.jp/bin/002159-01-1.jpg,https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/shinmeikominkan/shinmeikominkan.html,"",""
北中山地区　〜クリスマス会〜,"",子育て,2019/12/10,2019/12/10,参加費：こどもひとり 100円　申込・詳細・・・北中山公民館（℡65−1001）,"",鯖江市北中山公民館,10:00〜,10:00,"","",鯖江市北中山公民館,0778-65-1001,"",鯖江市北中山公民館,"",35.95175,136.237798,"","",https://www.city.sabae.fukui.jp/kosodate_kyoiku/shogaigakushu/kitanakayama/kitanakayamakominkan.html,"",""
